Kategorie;Wort;Wortart;Bildung;Deutsch
Gebildete Begriffe;Polphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Stadt und Träger
Gebildete Begriffe;Pollogion;Substantiv;Rhemata-Kompositum;Verbindung aus Stadt und Spruch
Gebildete Begriffe;Nomikon;Substantiv;Rhemata-Kompositum;Verbindung aus Gesetz und Zeichen
Gebildete Begriffe;Nomion;Substantiv;Rhemata-Kompositum;Verbindung aus Gesetz und Institution
Gebildete Begriffe;Nomeia;Substantiv;Rhemata-Kompositum;Verbindung aus Gesetz und Lehre
Gebildete Begriffe;Nomphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Gesetz und Träger
Gebildete Begriffe;Nomlogion;Substantiv;Rhemata-Kompositum;Verbindung aus Gesetz und Spruch
Gebildete Begriffe;Isoikon;Substantiv;Rhemata-Kompositum;Verbindung aus Gleichmaß und Zeichen
Gebildete Begriffe;Isoion;Substantiv;Rhemata-Kompositum;Verbindung aus Gleichmaß und Institution
Gebildete Begriffe;Isoeia;Substantiv;Rhemata-Kompositum;Verbindung aus Gleichmaß und Lehre
Gebildete Begriffe;Isophoros;Substantiv;Rhemata-Kompositum;Verbindung aus Gleichmaß und Träger
Gebildete Begriffe;Isologion;Substantiv;Rhemata-Kompositum;Verbindung aus Gleichmaß und Spruch
Gebildete Begriffe;Phylikon;Substantiv;Rhemata-Kompositum;Verbindung aus Wacht und Zeichen
Gebildete Begriffe;Phylion;Substantiv;Rhemata-Kompositum;Verbindung aus Wacht und Institution
Gebildete Begriffe;Phyleia;Substantiv;Rhemata-Kompositum;Verbindung aus Wacht und Lehre
Gebildete Begriffe;Phylphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Wacht und Träger
Gebildete Begriffe;Phyllogion;Substantiv;Rhemata-Kompositum;Verbindung aus Wacht und Spruch
Gebildete Begriffe;Mirikon;Substantiv;Rhemata-Kompositum;Verbindung aus Schicksal und Zeichen
Gebildete Begriffe;Mirion;Substantiv;Rhemata-Kompositum;Verbindung aus Schicksal und Institution
Gebildete Begriffe;Mireia;Substantiv;Rhemata-Kompositum;Verbindung aus Schicksal und Lehre
Gebildete Begriffe;Mirphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Schicksal und Träger
Gebildete Begriffe;Mirlogion;Substantiv;Rhemata-Kompositum;Verbindung aus Schicksal und Spruch
