Kategorie;Wort;Wortart;Bildung;Wörtliche Bedeutung;Deutsch
Militär und Triumph;Triumphum;Substantiv;TRIUMPH + -UM;greifbarer öffentlicher Sieg;Triumphzug
Wissen und Wissenschaft;Quaestica;Substantiv;QUAEST + -ICA;Lehre des Fragens;"Forschung; wissenschaftliche Methode"
Wissen und Wissenschaft;Ratica;Substantiv;RAT + -ICA;Lehre der Vernunft;Logik
Wissen und Wissenschaft;Sapientia;Substantiv;SAP + -IA;Fachgebiet der Weisheit;"Gelehrsamkeit; Philosophie"
Wissen und Wissenschaft;Scribarium;Substantiv;SCRIB + -ARIUM;Ort der Schrift;"Archiv; Skriptorium"
Wissen und Wissenschaft;Scribarius;Substantiv;SCRIB + -ARIUS;Beruf der Schrift;"Schreiber; Kopist"
Wissen und Wissenschaft;Argentica;Substantiv;ARG + -ICA;Lehre des Silbers;"Metallkunde; Silberchemie"
Wissen und Wissenschaft;Argentometria;Substantiv;ARG + METRIA;Messung des Silbers;Wert- und Reinheitsprüfung
Wissen und Wissenschaft;Spirica;Substantiv;SPIR + -ICA;Lehre des Atems;"Atemkunde; Pneumatik"
Wissen und Wissenschaft;Ventica;Substantiv;VENT + -ICA;Lehre des Windes;"Meteorologie; Windkunde"
Wissen und Wissenschaft;Navigica;Substantiv;NAVIG + -ICA;Lehre der Seefahrt;Navigation
Wissen und Wissenschaft;Zelarius;Substantiv;ZEL + -ARIUS;Beruf des Eifers;"Forscher; gelehrter Assistent"
Wissen und Wissenschaft;Quaestorium;Substantiv;QUAEST + -TORIUM;Ort des Fragens;"Akademie; Forschungsstätte"
Wissen und Wissenschaft;Ratiomentum;Substantiv;RAT + -MENTUM;Werkzeug der Vernunft;"Berechnung; Beweisführung"
Wissen und Wissenschaft;Sapicodex;Substantiv;SAP + CODEX;Niederschrift der Weisheit;"Lehrbuch; wissenschaftlicher Kodex"
Wissen und Wissenschaft;Xenica;Substantiv;XEN + -ICA;Lehre des Fremden;"Ethnographie; Fremdkunde"
Wissen und Wissenschaft;Harmonometrium;Substantiv;HARMONIA + METRIUM;Messgerät des Gleichgewichts;"Waage; Präzisionsinstrument"
Wissen und Wissenschaft;Requaestio;Substantiv;RE- + QUAESTIO;erneute Frage;"Überprüfung; Revision"
Wissen und Wissenschaft;Conratio;Substantiv;CON- + RATIO;gemeinsame Vernunft;wissenschaftlicher Konsens
Wissen und Wissenschaft;Praesapientor;Substantiv;PRAE- + SAP + -OR;vorrangiger Träger des Wissens;Akademieleiter
Wissen und Wissenschaft;Liberscriba;Substantiv;LIB + SCRIB;freie Schrift;"Essay; nichtamtliche Abhandlung"
Medizin und Biologie;Medica;Substantiv;MED + -ICA;Lehre des Heilens;Medizin
Medizin und Biologie;Medicarius;Substantiv;MED + -ARIUS;Beruf des Heilens;"Arzt; Heiler"
Medizin und Biologie;Corpusica;Substantiv;CORPUS + -ICA;Lehre des Körpers;Anatomie
Medizin und Biologie;Sanguinica;Substantiv;SANGUIN + -ICA;Lehre des Blutes;Hämatologie
Medizin und Biologie;Ossiculum;Substantiv;OSS + -CULUS;kleines Knochenstück;"Knöchelchen; kleiner Knochen"
Medizin und Biologie;Nervarium;Substantiv;NERV + -ARIUM;System der Nerven;Nervensystem
Medizin und Biologie;Herbica;Substantiv;HERB + -ICA;Lehre der Pflanzen;"Botanik; Kräuterkunde"
Medizin und Biologie;Animalica;Substantiv;ANIMAL + -ICA;Lehre der Lebewesen;"Zoologie; Biologie"
Medizin und Biologie;Spiramentum;Substantiv;SPIR + -MENTUM;Werkzeug des Atems;"Atemmaske; Beatmungsgerät"
Medizin und Biologie;Mortalis;Adjektiv;MORT + -ALIS;zum Tod gehörig;"tödlich; sterblich"
Medizin und Biologie;Vitalis;Adjektiv;VITA + -ALIS;zum Leben gehörig;"lebendig; lebensnotwendig"
Medizin und Biologie;Remedium;Substantiv;RE- + MED + -IUM;wiederherstellendes Heilmittel;"Arznei; Heilmittel"
Medizin und Biologie;Incorporia;Substantiv;IN- + CORPUS + -IA;Zustand innerhalb des Körpers;inneres Organwesen
Medizin und Biologie;Exsanguinatio;Substantiv;EX- + SANGUIN + -ATIO;Heraustreten des Blutes;Blutverlust
Medizin und Biologie;Harmoniavita;Substantiv;HARMONIA + VITA;Gleichgewicht des Lebens;"Gesundheit; körperliche Balance"
Reichsalltag und Handel;Argentum;Substantiv;ARG + -UM;greifbares Silber;"Silber; Reichswährung"
Reichsalltag und Handel;Mercarium;Substantiv;MERC + -ARIUM;Ort des Handels;"Markt; Kontor"
Reichsalltag und Handel;Mercarius;Substantiv;MERC + -ARIUS;Beruf des Handels;Kaufmann
Reichsalltag und Handel;Civitorium;Substantiv;CIV + -TORIUM;Funktionsort der Bürger;"Rathaus; Bürgerhalle"
Reichsalltag und Handel;Urbanium;Substantiv;URB + -ANIUM;geordneter Stadtraum;Stadtgebiet
Reichsalltag und Handel;Viarium;Substantiv;VIA + -ARIUM;Ort und System der Wege;Straßennetz
Reichsalltag und Handel;Aquarium;Substantiv;AQUA + -ARIUM;Ort des Wassers;"Zisterne; Wasserbecken"
Reichsalltag und Handel;Terrarium;Substantiv;TERRA + -ARIUM;abgegrenzter Landraum;"Landgut; Domäne"
Reichsalltag und Handel;Navigium;Substantiv;NAVIG + -IUM;Mittel der Seefahrt;Schiff
Reichsalltag und Handel;Connavigium;Substantiv;CON- + NAVIG + -IUM;Verbund von Schiffen;"Flotte; Konvoi"
Reichsalltag und Handel;Argentarius;Substantiv;ARG + -ARIUS;Beruf des Silbers;"Silberschmied; Geldwechsler"
Reichsalltag und Handel;Xenarium;Substantiv;XEN + -ARIUM;Ort für Fremde und Geschenke;"Gästehaus; Gesandtenhof"
Reichsalltag und Handel;Civpanium;Substantiv;CIV + PAN + -IUM;Brotinstitution der Bürger;"öffentliche Bäckerei; Kornamt"
Reichsalltag und Handel;Ordohora;Substantiv;ORD + HORA;geordnete Zeit;"Amtsstunde; offizieller Zeitabschnitt"
Reichsalltag und Handel;Unitafestum;Substantiv;UNITAS + FESTUM;Fest der Einheit;Reichsfeiertag
Philosophie und Kultur;Zephyrium;Substantiv;ZEPHYRUS + -IUM;Ort oder Gegenstand des Zephyrs;Windheiligtum
Philosophie und Kultur;Spiratus;Substantiv;SPIR + -ATUS;Körperschaft des Atems;Priesterschaft des Zephyrs
Philosophie und Kultur;Libertas;Substantiv;LIB + -ITAS;Eigenschaft der Freiheit;"Freiheit; Rederecht"
Philosophie und Kultur;Virtuitas;Substantiv;VIRTUS + -ITAS;Eigenschaft der Tugend;moralische Tüchtigkeit
Philosophie und Kultur;Harmonia;Substantiv;HARMONIA;ausgewogene Ordnung;"Harmonie; gesellschaftliches Gleichgewicht"
Philosophie und Kultur;Auctoritas;Substantiv;AUCTORITAS;Gewicht des Wortes;"Ansehen; legitime Autorität"
Philosophie und Kultur;Gloriamen;Substantiv;GLO + -MENTUM;Werkzeug des Ruhms;"Denkmal; Ehreninschrift"
Philosophie und Kultur;Honoratus;Substantiv;HON + -ATUS;öffentlich bestätigte Ehre;"Ehrenstand; Auszeichnung"
Philosophie und Kultur;Argensapientia;Substantiv;ARG + SAPIENTIA;silberne Weisheit;argentische Staatsphilosophie
Philosophie und Kultur;Ventlibertas;Substantiv;VENT + LIBERTAS;Freiheit des Windes;geistige Unabhängigkeit
Philosophie und Kultur;Sencantum;Substantiv;SEN + CANT + -UM;Gesang des Rates;Senatshymne
Philosophie und Kultur;Triumphalis;Adjektiv;TRIUMPH + -ALIS;zum öffentlichen Sieg gehörig;"triumphal; siegeswürdig"
Philosophie und Kultur;Nobilensis;Adjektiv;NOB + -ENSIS;aus dem Adel stammend;"patrizisch; adlig"
Philosophie und Kultur;Civhonor;Substantiv;CIV + HON;Ehre der Bürgerschaft;Bürgerverdienst
Philosophie und Kultur;Scriptoria;Substantiv;SCRIB + -TORIA;Kultur der Schriftorte;"Schriftwesen; Literatur"
