Name;Stamm;Endung;Stammbedeutung;Endungsbedeutung
Legarinus;Legar;inus;Legion und Formation;durch die Bedeutung geprägt
Legaratus;Legar;atus;Legion und Formation;für Amt oder Pflicht bestimmt
Legarellus;Legar;ellus;Legion und Formation;jüngerer oder besonders geschätzter Träger
Fortenius;Forten;ius;Standhaftigkeit und Kraft;persönlicher Träger
Fortenian;Forten;ian;Standhaftigkeit und Kraft;Erbe einer Linie
Forteninus;Forten;inus;Standhaftigkeit und Kraft;durch die Bedeutung geprägt
Fortenatus;Forten;atus;Standhaftigkeit und Kraft;für Amt oder Pflicht bestimmt
Fortenellus;Forten;ellus;Standhaftigkeit und Kraft;jüngerer oder besonders geschätzter Träger
Gloriius;Glori;ius;Ruhm und öffentliches Andenken;persönlicher Träger
Gloriian;Glori;ian;Ruhm und öffentliches Andenken;Erbe einer Linie
Gloriinus;Glori;inus;Ruhm und öffentliches Andenken;durch die Bedeutung geprägt
Gloriatus;Glori;atus;Ruhm und öffentliches Andenken;für Amt oder Pflicht bestimmt
Gloriellus;Glori;ellus;Ruhm und öffentliches Andenken;jüngerer oder besonders geschätzter Träger
Fidelius;Fidel;ius;Treue und Eid;persönlicher Träger
Fidelian;Fidel;ian;Treue und Eid;Erbe einer Linie
Fidelinus;Fidel;inus;Treue und Eid;durch die Bedeutung geprägt
Fidelatus;Fidel;atus;Treue und Eid;für Amt oder Pflicht bestimmt
Fidelellus;Fidel;ellus;Treue und Eid;jüngerer oder besonders geschätzter Träger
Discipius;Discip;ius;Zucht und Selbstbeherrschung;persönlicher Träger
Discipian;Discip;ian;Zucht und Selbstbeherrschung;Erbe einer Linie
Discipinus;Discip;inus;Zucht und Selbstbeherrschung;durch die Bedeutung geprägt
Discipatus;Discip;atus;Zucht und Selbstbeherrschung;für Amt oder Pflicht bestimmt
Discipellus;Discip;ellus;Zucht und Selbstbeherrschung;jüngerer oder besonders geschätzter Träger
Rationius;Ration;ius;Vernunft und Logik;persönlicher Träger
Rationian;Ration;ian;Vernunft und Logik;Erbe einer Linie
Rationinus;Ration;inus;Vernunft und Logik;durch die Bedeutung geprägt
Rationatus;Ration;atus;Vernunft und Logik;für Amt oder Pflicht bestimmt
Rationellus;Ration;ellus;Vernunft und Logik;jüngerer oder besonders geschätzter Träger
Sapienius;Sapien;ius;Weisheit und Erkenntnis;persönlicher Träger
Sapienian;Sapien;ian;Weisheit und Erkenntnis;Erbe einer Linie
Sapieninus;Sapien;inus;Weisheit und Erkenntnis;durch die Bedeutung geprägt
Sapienatus;Sapien;atus;Weisheit und Erkenntnis;für Amt oder Pflicht bestimmt
Sapienellus;Sapien;ellus;Weisheit und Erkenntnis;jüngerer oder besonders geschätzter Träger
Argentius;Argent;ius;Silber, Reinheit und Wert;persönlicher Träger
Argentian;Argent;ian;Silber, Reinheit und Wert;Erbe einer Linie
Argentinus;Argent;inus;Silber, Reinheit und Wert;durch die Bedeutung geprägt
Argentatus;Argent;atus;Silber, Reinheit und Wert;für Amt oder Pflicht bestimmt
Argentellus;Argent;ellus;Silber, Reinheit und Wert;jüngerer oder besonders geschätzter Träger
Venturius;Ventur;ius;Wind, Freiheit und Gedankenfluss;persönlicher Träger
Venturian;Ventur;ian;Wind, Freiheit und Gedankenfluss;Erbe einer Linie
Venturinus;Ventur;inus;Wind, Freiheit und Gedankenfluss;durch die Bedeutung geprägt
Venturatus;Ventur;atus;Wind, Freiheit und Gedankenfluss;für Amt oder Pflicht bestimmt
Venturellus;Ventur;ellus;Wind, Freiheit und Gedankenfluss;jüngerer oder besonders geschätzter Träger
Liberius;Liber;ius;Freiheit und eigenes Urteil;persönlicher Träger
Liberian;Liber;ian;Freiheit und eigenes Urteil;Erbe einer Linie
Liberinus;Liber;inus;Freiheit und eigenes Urteil;durch die Bedeutung geprägt
Liberatus;Liber;atus;Freiheit und eigenes Urteil;für Amt oder Pflicht bestimmt
Liberellus;Liber;ellus;Freiheit und eigenes Urteil;jüngerer oder besonders geschätzter Träger
