variant,seed,winner,rounds,first,actions,gildasHP,gawainHP
both-one-handed,3098215656,Gildas,3,Gawain,17,11,0
both-one-handed,1457684129,Gildas,3,Gildas,15,29,0
both-one-handed,4112119898,Gildas,3,Gildas,13,22,0
both-one-handed,2471588371,Gildas,3,Gildas,15,50,0
both-one-handed,831056844,Gildas,2,Gawain,11,14,0
both-one-handed,3485492613,Gildas,1,Gildas,3,58,0
both-one-handed,1844961086,Gildas,2,Gildas,8,30,0
both-one-handed,204429559,Gildas,4,Gawain,23,8,0
both-one-handed,2858865328,Gawain,3,Gawain,14,0,15
both-one-handed,1218333801,Gildas,3,Gildas,13,34,0
both-one-handed,3872769570,Gildas,2,Gildas,9,58,0
both-one-handed,2232238043,Gildas,3,Gildas,13,20,0
both-one-handed,591706516,Gildas,3,Gildas,13,43,0
both-one-handed,3246142285,Gildas,2,Gildas,8,38,0
both-one-handed,1605610758,Gawain,4,Gawain,19,0,10
both-one-handed,4260046527,Gildas,2,Gawain,10,3,0
both-one-handed,2619515000,Gildas,5,Gildas,25,30,0
both-one-handed,978983473,Gildas,4,Gildas,19,27,0
both-one-handed,3633419242,Gildas,2,Gawain,11,21,0
both-one-handed,1992887715,Gildas,5,Gildas,26,9,0
both-one-handed,352356188,Gildas,4,Gawain,22,4,0
both-one-handed,3006791957,Gildas,3,Gawain,17,15,0
both-one-handed,1366260430,Gildas,3,Gawain,16,28,0
both-one-handed,4020696199,Gildas,5,Gawain,28,12,0
both-one-handed,2380164672,Gildas,3,Gawain,17,8,0
both-one-handed,739633145,Gildas,2,Gildas,8,52,0
both-one-handed,3394068914,Gawain,2,Gawain,9,0,24
both-one-handed,1753537387,Gildas,2,Gawain,10,20,0
both-one-handed,113005860,Gawain,4,Gildas,22,0,4
both-one-handed,2767441629,Gawain,4,Gildas,23,0,22
both-one-handed,1126910102,Gildas,2,Gawain,11,50,0
both-one-handed,3781345871,Gildas,4,Gildas,20,22,0
both-one-handed,2140814344,Gildas,2,Gawain,10,20,0
both-one-handed,500282817,Gildas,3,Gawain,16,20,0
both-one-handed,3154718586,Gildas,2,Gawain,12,20,0
both-one-handed,1514187059,Gildas,4,Gildas,20,18,0
both-one-handed,4168622828,Gildas,4,Gawain,24,9,0
both-one-handed,2528091301,Gildas,2,Gildas,8,34,0
both-one-handed,887559774,Gawain,3,Gawain,13,0,11
both-one-handed,3541995543,Gawain,7,Gawain,37,0,13
both-one-handed,1901464016,Gildas,3,Gawain,17,26,0
both-one-handed,260932489,Gildas,2,Gawain,11,34,0
both-one-handed,2915368258,Gildas,3,Gildas,13,41,0
both-one-handed,1274836731,Gildas,5,Gildas,25,40,0
both-one-handed,3929272500,Gildas,3,Gildas,15,40,0
both-one-handed,2288740973,Gildas,2,Gawain,11,25,0
both-one-handed,648209446,Gildas,5,Gildas,25,14,0
both-one-handed,3302645215,Gildas,2,Gildas,8,50,0
both-one-handed,1662113688,Gildas,4,Gildas,20,10,0
both-one-handed,21582161,Gildas,2,Gawain,12,24,0
both-one-handed,2676017930,Gildas,2,Gildas,8,41,0
both-one-handed,1035486403,Gildas,3,Gildas,13,51,0
both-one-handed,3689922172,Gildas,3,Gildas,13,38,0
both-one-handed,2049390645,Gildas,1,Gildas,3,58,0
both-one-handed,408859118,Gildas,2,Gildas,9,29,0
both-one-handed,3063294887,Gildas,3,Gawain,16,8,0
both-one-handed,1422763360,Gawain,3,Gildas,16,0,24
both-one-handed,4077199129,Gildas,3,Gildas,13,29,0
both-one-handed,2436667602,Gildas,3,Gildas,15,10,0
both-one-handed,796136075,Gildas,3,Gildas,13,18,0
both-one-handed,3450571844,Gildas,3,Gildas,13,27,0
both-two-handed,2654435769,Gildas,3,Gildas,13,24,0
both-two-handed,1013904242,Gildas,3,Gawain,18,22,0
both-two-handed,3668340011,Gildas,3,Gildas,14,30,0
both-two-handed,2027808484,Gawain,5,Gawain,26,0,9
both-two-handed,387276957,Gildas,3,Gildas,13,35,0
both-two-handed,3041712726,Gildas,2,Gildas,8,39,0
both-two-handed,1401181199,Gawain,5,Gawain,25,0,10
both-two-handed,4055616968,Gildas,2,Gawain,10,40,0
both-two-handed,2415085441,Gildas,2,Gildas,8,43,0
both-two-handed,774553914,Gawain,3,Gawain,14,0,26
both-two-handed,3428989683,Gildas,4,Gawain,23,29,0
both-two-handed,1788458156,Gawain,3,Gawain,14,0,20
both-two-handed,147926629,Gildas,2,Gildas,7,58,0
both-two-handed,2802362398,Gildas,4,Gawain,22,15,0
both-two-handed,1161830871,Gawain,4,Gawain,19,0,8
both-two-handed,3816266640,Gildas,2,Gildas,9,58,0
both-two-handed,2175735113,Gildas,3,Gawain,18,38,0
both-two-handed,535203586,Gildas,2,Gawain,11,40,0
both-two-handed,3189639355,Gildas,3,Gawain,16,6,0
both-two-handed,1549107828,Gildas,2,Gawain,12,20,0
both-two-handed,4203543597,Gawain,2,Gawain,9,0,39
both-two-handed,2563012070,Gildas,2,Gildas,8,48,0
both-two-handed,922480543,Gawain,3,Gawain,14,0,17
both-two-handed,3576916312,Gildas,3,Gawain,17,7,0
both-two-handed,1936384785,Gildas,6,Gildas,31,13,0
both-two-handed,295853258,Gildas,2,Gawain,12,47,0
both-two-handed,2950289027,Gildas,4,Gildas,20,18,0
both-two-handed,1309757500,Gildas,2,Gawain,10,11,0
both-two-handed,3964193269,Gildas,3,Gildas,13,49,0
both-two-handed,2323661742,Gildas,2,Gawain,12,41,0
both-two-handed,683130215,Gildas,4,Gawain,23,13,0
both-two-handed,3337565984,Gildas,4,Gildas,20,5,0
both-two-handed,1697034457,Gildas,2,Gawain,12,50,0
both-two-handed,56502930,Gildas,3,Gawain,16,6,0
both-two-handed,2710938699,Gawain,2,Gawain,9,0,32
both-two-handed,1070407172,Gildas,3,Gawain,16,49,0
both-two-handed,3724842941,Gildas,2,Gawain,10,43,0
both-two-handed,2084311414,Gawain,3,Gildas,16,0,9
both-two-handed,443779887,Gildas,2,Gildas,8,58,0
both-two-handed,3098215656,Gildas,3,Gawain,16,1,0
both-two-handed,1457684129,Gildas,3,Gildas,13,27,0
both-two-handed,4112119898,Gildas,2,Gildas,8,58,0
both-two-handed,2471588371,Gildas,3,Gildas,14,52,0
both-two-handed,831056844,Gildas,2,Gawain,11,34,0
both-two-handed,3485492613,Gildas,1,Gildas,3,58,0
both-two-handed,1844961086,Gildas,2,Gildas,7,50,0
both-two-handed,204429559,Gildas,4,Gawain,23,8,0
both-two-handed,2858865328,Gawain,3,Gawain,14,0,23
both-two-handed,1218333801,Gildas,2,Gildas,7,49,0
both-two-handed,3872769570,Gildas,5,Gildas,25,15,0
both-two-handed,2232238043,Gildas,3,Gildas,15,28,0
both-two-handed,591706516,Gildas,3,Gildas,13,41,0
both-two-handed,3246142285,Gildas,2,Gildas,8,36,0
both-two-handed,1605610758,Gawain,4,Gawain,19,0,7
both-two-handed,4260046527,Gildas,2,Gawain,10,9,0
both-two-handed,2619515000,Gildas,5,Gildas,25,38,0
both-two-handed,978983473,Gildas,4,Gildas,19,27,0
both-two-handed,3633419242,Gildas,2,Gawain,10,3,0
both-two-handed,1992887715,Gildas,4,Gildas,21,28,0
both-two-handed,352356188,Gildas,4,Gawain,22,2,0
both-two-handed,3006791957,Gildas,3,Gawain,18,13,0
both-two-handed,1366260430,Gildas,1,Gawain,6,58,0
both-two-handed,4020696199,Gildas,4,Gawain,24,16,0
both-two-handed,2380164672,Gildas,3,Gawain,16,15,0
both-two-handed,739633145,Gildas,3,Gildas,15,10,0
both-two-handed,3394068914,Gawain,2,Gawain,9,0,12
both-two-handed,1753537387,Gawain,5,Gawain,26,0,2
both-two-handed,113005860,Gildas,6,Gildas,31,14,0
both-two-handed,2767441629,Gawain,4,Gildas,23,0,26
both-two-handed,1126910102,Gildas,2,Gawain,10,54,0
both-two-handed,3781345871,Gawain,7,Gildas,40,0,3
both-two-handed,2140814344,Gildas,2,Gawain,11,18,0
both-two-handed,500282817,Gildas,3,Gawain,16,6,0
both-two-handed,3154718586,Gildas,3,Gawain,18,3,0
both-two-handed,1514187059,Gildas,4,Gildas,20,12,0
both-two-handed,4168622828,Gildas,4,Gawain,24,11,0
both-two-handed,2528091301,Gildas,3,Gildas,13,22,0
both-two-handed,887559774,Gawain,3,Gawain,14,0,13
both-two-handed,3541995543,Gawain,5,Gawain,27,0,26
both-two-handed,1901464016,Gildas,3,Gawain,18,26,0
both-two-handed,260932489,Gildas,2,Gawain,11,36,0
both-two-handed,2915368258,Gildas,3,Gildas,13,33,0
both-two-handed,1274836731,Gildas,5,Gildas,27,34,0
both-two-handed,3929272500,Gildas,4,Gildas,21,1,0
both-two-handed,2288740973,Gildas,2,Gawain,10,21,0
both-two-handed,648209446,Gildas,5,Gildas,25,28,0
both-two-handed,3302645215,Gildas,2,Gildas,8,50,0
both-two-handed,1662113688,Gawain,3,Gildas,16,0,14
both-two-handed,21582161,Gildas,2,Gawain,12,24,0
both-two-handed,2676017930,Gildas,2,Gildas,8,38,0
both-two-handed,1035486403,Gildas,4,Gildas,20,10,0
both-two-handed,3689922172,Gildas,4,Gildas,20,36,0
both-two-handed,2049390645,Gawain,3,Gildas,17,0,3
both-two-handed,408859118,Gildas,2,Gildas,7,33,0
both-two-handed,3063294887,Gawain,3,Gawain,15,0,2
both-two-handed,1422763360,Gawain,3,Gildas,16,0,28
both-two-handed,4077199129,Gildas,2,Gildas,8,37,0
both-two-handed,2436667602,Gildas,3,Gildas,15,10,0
both-two-handed,796136075,Gildas,5,Gildas,27,3,0
both-two-handed,3450571844,Gildas,3,Gildas,13,29,0
gildas-two-handed,2654435769,Gildas,3,Gildas,13,24,0
gildas-two-handed,1013904242,Gildas,4,Gawain,24,7,0
gildas-two-handed,3668340011,Gildas,3,Gildas,14,32,0
gildas-two-handed,2027808484,Gawain,6,Gawain,33,0,2
gildas-two-handed,387276957,Gawain,3,Gildas,17,0,3
gildas-two-handed,3041712726,Gildas,2,Gildas,8,45,0
gildas-two-handed,1401181199,Gildas,5,Gawain,29,9,0
gildas-two-handed,4055616968,Gildas,2,Gawain,10,38,0
gildas-two-handed,2415085441,Gildas,2,Gildas,8,35,0
gildas-two-handed,774553914,Gawain,4,Gawain,19,0,18
gildas-two-handed,3428989683,Gildas,4,Gawain,22,9,0
gildas-two-handed,1788458156,Gildas,3,Gawain,17,5,0
gildas-two-handed,147926629,Gildas,2,Gildas,7,58,0
gildas-two-handed,2802362398,Gildas,4,Gawain,22,17,0
gildas-two-handed,1161830871,Gildas,3,Gawain,16,18,0
gildas-two-handed,3816266640,Gildas,2,Gildas,9,58,0
gildas-two-handed,2175735113,Gildas,2,Gawain,12,49,0
gildas-two-handed,535203586,Gildas,2,Gawain,12,5,0
gildas-two-handed,3189639355,Gildas,3,Gawain,16,8,0
gildas-two-handed,1549107828,Gildas,2,Gawain,12,28,0
gildas-two-handed,4203543597,Gildas,4,Gawain,23,3,0
gildas-two-handed,2563012070,Gildas,2,Gildas,9,35,0
gildas-two-handed,922480543,Gawain,3,Gawain,15,0,17
gildas-two-handed,3576916312,Gildas,4,Gawain,22,3,0
gildas-two-handed,1936384785,Gawain,5,Gildas,29,0,1
gildas-two-handed,295853258,Gawain,3,Gawain,14,0,28
gildas-two-handed,2950289027,Gildas,4,Gildas,20,18,0
gildas-two-handed,1309757500,Gildas,2,Gawain,10,13,0
gildas-two-handed,3964193269,Gildas,3,Gildas,13,49,0
gildas-two-handed,2323661742,Gildas,2,Gawain,12,43,0
gildas-two-handed,683130215,Gildas,3,Gawain,17,10,0
gildas-two-handed,3337565984,Gildas,4,Gildas,20,13,0
gildas-two-handed,1697034457,Gildas,2,Gawain,12,48,0
gildas-two-handed,56502930,Gildas,3,Gawain,16,20,0
gildas-two-handed,2710938699,Gawain,3,Gawain,13,0,25
gildas-two-handed,1070407172,Gildas,3,Gawain,18,15,0
gildas-two-handed,3724842941,Gildas,3,Gawain,17,6,0
gildas-two-handed,2084311414,Gawain,3,Gildas,16,0,9
gildas-two-handed,443779887,Gildas,2,Gildas,8,58,0
gildas-two-handed,3098215656,Gildas,3,Gawain,16,11,0
gildas-two-handed,1457684129,Gildas,3,Gildas,13,29,0
gildas-two-handed,4112119898,Gildas,3,Gildas,13,22,0
gildas-two-handed,2471588371,Gildas,3,Gildas,14,50,0
gildas-two-handed,831056844,Gildas,2,Gawain,11,14,0
gildas-two-handed,3485492613,Gildas,1,Gildas,3,58,0
gildas-two-handed,1844961086,Gildas,2,Gildas,7,48,0
gildas-two-handed,204429559,Gildas,4,Gawain,23,8,0
gildas-two-handed,2858865328,Gawain,3,Gawain,14,0,23
gildas-two-handed,1218333801,Gildas,2,Gildas,7,49,0
gildas-two-handed,3872769570,Gildas,5,Gildas,25,26,0
gildas-two-handed,2232238043,Gildas,3,Gildas,13,20,0
gildas-two-handed,591706516,Gildas,3,Gildas,13,43,0
gildas-two-handed,3246142285,Gildas,2,Gildas,8,38,0
gildas-two-handed,1605610758,Gawain,4,Gawain,19,0,10
gildas-two-handed,4260046527,Gildas,2,Gawain,10,3,0
gildas-two-handed,2619515000,Gildas,5,Gildas,25,30,0
gildas-two-handed,978983473,Gildas,4,Gildas,19,27,0
gildas-two-handed,3633419242,Gildas,2,Gawain,10,21,0
gildas-two-handed,1992887715,Gildas,4,Gildas,21,25,0
gildas-two-handed,352356188,Gildas,4,Gawain,22,4,0
gildas-two-handed,3006791957,Gildas,3,Gawain,18,15,0
gildas-two-handed,1366260430,Gildas,1,Gawain,6,58,0
gildas-two-handed,4020696199,Gildas,4,Gawain,24,18,0
gildas-two-handed,2380164672,Gildas,3,Gawain,16,8,0
gildas-two-handed,739633145,Gildas,3,Gildas,15,18,0
gildas-two-handed,3394068914,Gawain,2,Gawain,9,0,12
gildas-two-handed,1753537387,Gildas,2,Gawain,10,20,0
gildas-two-handed,113005860,Gawain,5,Gildas,30,0,9
gildas-two-handed,2767441629,Gawain,4,Gildas,23,0,26
gildas-two-handed,1126910102,Gildas,2,Gawain,10,50,0
gildas-two-handed,3781345871,Gawain,7,Gildas,40,0,3
gildas-two-handed,2140814344,Gildas,2,Gawain,11,20,0
gildas-two-handed,500282817,Gildas,3,Gawain,16,20,0
gildas-two-handed,3154718586,Gildas,3,Gawain,18,15,0
gildas-two-handed,1514187059,Gildas,4,Gildas,20,18,0
gildas-two-handed,4168622828,Gildas,4,Gawain,24,9,0
gildas-two-handed,2528091301,Gildas,3,Gildas,13,22,0
gildas-two-handed,887559774,Gawain,3,Gawain,13,0,13
gildas-two-handed,3541995543,Gawain,7,Gawain,37,0,13
gildas-two-handed,1901464016,Gildas,3,Gawain,18,26,0
gildas-two-handed,260932489,Gildas,2,Gawain,11,34,0
gildas-two-handed,2915368258,Gildas,3,Gildas,13,41,0
gildas-two-handed,1274836731,Gildas,5,Gildas,27,40,0
gildas-two-handed,3929272500,Gildas,4,Gildas,21,9,0
gildas-two-handed,2288740973,Gildas,2,Gawain,10,25,0
gildas-two-handed,648209446,Gildas,5,Gildas,25,14,0
gildas-two-handed,3302645215,Gildas,2,Gildas,8,50,0
gildas-two-handed,1662113688,Gildas,4,Gildas,19,10,0
gildas-two-handed,21582161,Gildas,2,Gawain,12,24,0
gildas-two-handed,2676017930,Gildas,2,Gildas,8,41,0
gildas-two-handed,1035486403,Gildas,4,Gildas,20,14,0
gildas-two-handed,3689922172,Gildas,3,Gildas,14,21,0
gildas-two-handed,2049390645,Gildas,4,Gildas,21,16,0
gildas-two-handed,408859118,Gildas,2,Gildas,7,29,0
gildas-two-handed,3063294887,Gildas,3,Gawain,16,8,0
gildas-two-handed,1422763360,Gawain,3,Gildas,16,0,28
gildas-two-handed,4077199129,Gildas,2,Gildas,8,45,0
gildas-two-handed,2436667602,Gildas,3,Gildas,15,10,0
gildas-two-handed,796136075,Gawain,4,Gildas,22,0,8
gildas-two-handed,3450571844,Gildas,3,Gildas,13,27,0
gawain-two-handed,2654435769,Gildas,3,Gildas,13,24,0
gawain-two-handed,1013904242,Gildas,4,Gawain,23,22,0
gawain-two-handed,3668340011,Gildas,3,Gildas,14,30,0
gawain-two-handed,2027808484,Gawain,5,Gawain,26,0,13
gawain-two-handed,387276957,Gildas,3,Gildas,13,35,0
gawain-two-handed,3041712726,Gildas,2,Gildas,7,39,0
gawain-two-handed,1401181199,Gildas,4,Gawain,23,34,0
gawain-two-handed,4055616968,Gildas,2,Gawain,10,40,0
gawain-two-handed,2415085441,Gildas,2,Gildas,9,43,0
gawain-two-handed,774553914,Gawain,3,Gawain,14,0,28
gawain-two-handed,3428989683,Gildas,4,Gawain,22,29,0
gawain-two-handed,1788458156,Gawain,3,Gawain,14,0,12
gawain-two-handed,147926629,Gildas,2,Gildas,8,58,0
gawain-two-handed,2802362398,Gildas,4,Gawain,24,15,0
gawain-two-handed,1161830871,Gawain,4,Gawain,19,0,8
gawain-two-handed,3816266640,Gildas,3,Gildas,15,47,0
gawain-two-handed,2175735113,Gildas,3,Gawain,18,28,0
gawain-two-handed,535203586,Gildas,2,Gawain,12,40,0
gawain-two-handed,3189639355,Gildas,3,Gawain,16,6,0
gawain-two-handed,1549107828,Gildas,3,Gawain,16,20,0
gawain-two-handed,4203543597,Gawain,2,Gawain,9,0,39
gawain-two-handed,2563012070,Gildas,3,Gildas,13,38,0
gawain-two-handed,922480543,Gawain,3,Gawain,14,0,23
gawain-two-handed,3576916312,Gildas,3,Gawain,16,7,0
gawain-two-handed,1936384785,Gildas,4,Gildas,20,33,0
gawain-two-handed,295853258,Gildas,2,Gawain,12,47,0
gawain-two-handed,2950289027,Gildas,4,Gildas,19,18,0
gawain-two-handed,1309757500,Gildas,2,Gawain,10,11,0
gawain-two-handed,3964193269,Gildas,2,Gildas,7,49,0
gawain-two-handed,2323661742,Gildas,4,Gawain,23,5,0
gawain-two-handed,683130215,Gildas,4,Gawain,22,13,0
gawain-two-handed,3337565984,Gildas,4,Gildas,20,5,0
gawain-two-handed,1697034457,Gildas,3,Gawain,16,39,0
gawain-two-handed,56502930,Gildas,3,Gawain,16,6,0
gawain-two-handed,2710938699,Gawain,2,Gawain,9,0,36
gawain-two-handed,1070407172,Gildas,3,Gawain,16,49,0
gawain-two-handed,3724842941,Gildas,3,Gawain,18,17,0
gawain-two-handed,2084311414,Gawain,3,Gildas,16,0,11
gawain-two-handed,443779887,Gildas,2,Gildas,8,58,0
gawain-two-handed,3098215656,Gildas,3,Gawain,17,1,0
gawain-two-handed,1457684129,Gildas,3,Gildas,15,27,0
gawain-two-handed,4112119898,Gildas,2,Gildas,9,58,0
gawain-two-handed,2471588371,Gildas,3,Gildas,15,52,0
gawain-two-handed,831056844,Gildas,2,Gawain,12,34,0
gawain-two-handed,3485492613,Gildas,1,Gildas,3,58,0
gawain-two-handed,1844961086,Gildas,2,Gildas,8,36,0
gawain-two-handed,204429559,Gildas,4,Gawain,23,8,0
gawain-two-handed,2858865328,Gawain,3,Gawain,14,0,15
gawain-two-handed,1218333801,Gildas,3,Gildas,13,36,0
gawain-two-handed,3872769570,Gildas,2,Gildas,9,58,0
gawain-two-handed,2232238043,Gildas,3,Gildas,15,28,0
gawain-two-handed,591706516,Gildas,3,Gildas,13,41,0
gawain-two-handed,3246142285,Gildas,2,Gildas,8,36,0
gawain-two-handed,1605610758,Gawain,4,Gawain,19,0,7
gawain-two-handed,4260046527,Gildas,2,Gawain,10,9,0
gawain-two-handed,2619515000,Gildas,5,Gildas,25,38,0
gawain-two-handed,978983473,Gildas,4,Gildas,19,27,0
gawain-two-handed,3633419242,Gildas,2,Gawain,11,3,0
gawain-two-handed,1992887715,Gildas,5,Gildas,26,8,0
gawain-two-handed,352356188,Gildas,4,Gawain,22,2,0
gawain-two-handed,3006791957,Gildas,3,Gawain,17,13,0
gawain-two-handed,1366260430,Gildas,3,Gawain,16,16,0
gawain-two-handed,4020696199,Gildas,5,Gawain,28,10,0
gawain-two-handed,2380164672,Gildas,3,Gawain,16,15,0
gawain-two-handed,739633145,Gildas,2,Gildas,8,50,0
gawain-two-handed,3394068914,Gawain,2,Gawain,9,0,24
gawain-two-handed,1753537387,Gawain,5,Gawain,26,0,4
gawain-two-handed,113005860,Gildas,6,Gildas,31,14,0
gawain-two-handed,2767441629,Gawain,4,Gildas,23,0,22
gawain-two-handed,1126910102,Gildas,2,Gawain,11,54,0
gawain-two-handed,3781345871,Gildas,4,Gildas,20,20,0
gawain-two-handed,2140814344,Gildas,2,Gawain,10,18,0
gawain-two-handed,500282817,Gildas,3,Gawain,16,6,0
gawain-two-handed,3154718586,Gildas,2,Gawain,12,16,0
gawain-two-handed,1514187059,Gildas,4,Gildas,20,12,0
gawain-two-handed,4168622828,Gildas,4,Gawain,24,11,0
gawain-two-handed,2528091301,Gildas,2,Gildas,8,40,0
gawain-two-handed,887559774,Gawain,3,Gawain,14,0,11
gawain-two-handed,3541995543,Gawain,5,Gawain,27,0,28
gawain-two-handed,1901464016,Gildas,3,Gawain,17,26,0
gawain-two-handed,260932489,Gildas,2,Gawain,11,36,0
gawain-two-handed,2915368258,Gildas,3,Gildas,13,33,0
gawain-two-handed,1274836731,Gildas,5,Gildas,25,34,0
gawain-two-handed,3929272500,Gildas,3,Gildas,15,40,0
gawain-two-handed,2288740973,Gildas,2,Gawain,11,21,0
gawain-two-handed,648209446,Gildas,5,Gildas,25,28,0
gawain-two-handed,3302645215,Gildas,2,Gildas,8,50,0
gawain-two-handed,1662113688,Gawain,3,Gildas,16,0,20
gawain-two-handed,21582161,Gildas,2,Gawain,12,24,0
gawain-two-handed,2676017930,Gildas,2,Gildas,8,38,0
gawain-two-handed,1035486403,Gildas,3,Gildas,13,51,0
gawain-two-handed,3689922172,Gildas,3,Gildas,13,40,0
gawain-two-handed,2049390645,Gildas,1,Gildas,3,58,0
gawain-two-handed,408859118,Gildas,2,Gildas,9,33,0
gawain-two-handed,3063294887,Gawain,3,Gawain,15,0,12
gawain-two-handed,1422763360,Gawain,3,Gildas,16,0,24
gawain-two-handed,4077199129,Gildas,3,Gildas,13,21,0
gawain-two-handed,2436667602,Gildas,3,Gildas,15,10,0
gawain-two-handed,796136075,Gildas,3,Gildas,13,14,0
gawain-two-handed,3450571844,Gildas,3,Gildas,13,29,0
