Bereich	Wort	Silben	Deutsch	Gebrauch
Feudalstand	ardor	ar·dor	Herzog oder Herzogin	Hoher Lehnsfürst über mehrere Grafschaften.
Feudalstand	torak	to·rak	Markgraf oder Markgräfin	Lehnsherr einer wehrhaften Grenzmark.
Feudalstand	barak	ba·rak	Graf oder Gräfin	Lehnsherr über eine Grafschaft.
Feudalstand	baror	ba·ror	Baron oder Baronin	Lehnsherr einer kleineren Herrschaft.
Feudalstand	baran	ba·ran	Vasall	Trägt ein Lehen gegen Eid und Dienst.
Feudalstand	bara	ba·ra	Lehen	Überlassenes Land, Recht oder Amt.
Feudalstand	barun	ba·run	Lehnsgebiet	Zum Lehen gehörige Ländereien.
Feudalstand	balor	ba·lor	Vogt	Vertritt die Herrschaft vor Ort.
Feudalstand	balan	ba·lan	Amtmann	Führt die tägliche Verwaltung eines Bezirks.
Feudalstand	daror	da·ror	Seneschall	Leitet Haushalt und Hofverwaltung.
Feudalstand	garor	ga·ror	Marschall	Verantwortet Heerführung und Aufgebot des Hofes.
Feudalstand	belor dar	be·lor dar	Kämmerer	Verwaltet Schatz, Einkünfte und Ausgaben des Hofes.
Feudalstand	rulor dar	ru·lor dar	Kanzler	Leitet die herrschaftliche Schreibstube.
Feudalstand	dunor	du·nor	Kastellan	Verwaltet und verteidigt eine Burg.
Feudalstand	garan var	ga·ran var	Ritter	Eidgebundener, ausgerüsteter Krieger mit Standesrecht.
Feudalstand	garin	ga·rin	Knappe	Person in ritterlicher Ausbildung.
Feudalstand	delin	de·lin	Page	Junger Dienstangehöriger des Hofes.
Feudalstand	darum	da·rum	Hofstaat	Amtsträger und Haushalt um die Herrschaft.
Feudalstand	var dar	var dar	Lehnseid	Schwur auf den anerkannten Lehnsherrn.
Feudalstand	narin dar	na·rin dar	Thronerbe	Bestimmte Nachfolge der Krone, unabhängig vom Alter.
Recht	kala	ka·la	Recht	Anerkannte Ordnung und Anspruch.
Recht	kalor	ka·lor	Richter	Spricht Urteile im zuständigen Gericht.
Recht	kalun	ka·lun	Gericht	Ort und Körperschaft der Rechtsprechung.
Recht	rana	ra·na	Rat	Beratung oder wohlbedachter Vorschlag.
Recht	vara	va·ra	Eid	Persönliche, öffentlich bindende Zusage.
Recht	varum	va·rum	Bündnis	Gemeinschaft mit gegenseitigen Pflichten.
Recht	varin	va·rin	Versprechen	Persönliche Zusage ohne förmlichen Eid.
Recht	rula	ru·la	Schrift	Geschriebenes Wort oder Schriftsystem.
Recht	rulan	ru·lan	Urkunde	Beweisstück mit anerkannten Zeugen oder Siegeln.
Recht	rulak	ru·lak	Gesetz	Verkündete, allgemein bindende Regel.
Recht	zira	zi·ra	Ring	Geschlossener Ring; auch Amtszeichen.
Recht	zirak	zi·rak	Siegel	Kennzeichnet die verbindliche Herkunft einer Urkunde.
Recht	selor	se·lor	Zeuge	Person, die einen Vorgang selbst wahrnahm.
Recht	kalin	ka·lin	Anspruch	Eingefordertes Recht oder geschuldete Leistung.
Recht	karad	ka·rad	Urteil	Abschließender Rechtsspruch.
Recht	beldar	bel·dar	Abgabe	Regelmäßig geschuldete Leistung an die Herrschaft.
Recht	belin	be·lin	Gebühr	Zahlung für eine bestimmte Leistung oder Erlaubnis.
Recht	dorbel	dor·bel	Pacht	Entgelt für die zeitweilige Nutzung eines Besitzes.
Recht	barad	ba·rad	Frondienst	Geschuldete Arbeit auf herrschaftlichem Grund.
Recht	belvar	bel·var	Schuld	Noch zu erfüllende Zahlung oder Leistung.
Recht	varak	va·rak	Vertrag	Förmlich vereinbarte gegenseitige Pflichten.
Recht	serad	se·rad	Begnadigung	Erlass einer bereits ausgesprochenen Strafe.
Recht	zorad	zo·rad	Bann	Rechtlicher Ausschluss oder herrschaftliches Verbot.
Recht	kalgar	kal·gar	Büttel	Vollzieht Anordnungen des Gerichts.
Recht	ragar	ra·gar	Fehde	Öffentlich erklärte Auseinandersetzung zwischen Häusern.
Militär	garan	ga·ran	Krieger	Bewaffneter Kämpfer, unabhängig von Stand und Geschlecht.
Militär	garum	ga·rum	Heer	Geordnetes Aufgebot für einen Feldzug.
Militär	garun	ga·run	Lager	Gesicherter Aufenthaltsort des Heeres.
Militär	garak	ga·rak	Hauptmann	Führt eine selbständige Einheit.
Militär	garinor	ga·ri·nor	Unterführer	Leitet eine kleine Gruppe im Auftrag des Hauptmanns.
Militär	brana	bra·na	Banner	Sichtbares Zeichen einer Gefolgschaft.
Militär	branor	bra·nor	Bannerträger	Trägt und schützt das Zeichen im Feld.
Militär	bragum	bra·gum	Stoßtrupp	Kleine Einheit für einen entschlossenen Angriff.
Militär	grenum	gre·num	Reiterei	Berittene Kämpfer eines Aufgebots.
Militär	grenor	gre·nor	Reiter	Berittener Kämpfer oder Bote.
Militär	dalgar	dal·gar	Fußsoldat	Kämpfer, der zu Fuß ins Feld zieht.
Militär	selor gar	se·lor gar	Späher	Erkundet Wege, Feind und Gelände.
Militär	thalor	tha·lor	Wachtposten; Wächterkaste	Bewacht einen zugewiesenen Ort; auch Name der morgornischen Wächterkaste für Tore, Mauern, Wege und Festungen.
Militär	thala	tha·la	Wache	Wachdienst oder dessen Besatzung.
Militär	skela	ske·la	Schild	Getragener Schutz gegen Hiebe und Geschosse.
Militär	skelum	ske·lum	Schildwall	Geschlossene Front aus aneinandergefügten Schilden.
Militär	braga	bra·ga	Angriff	Vorgehen gegen eine gegnerische Stellung.
Militär	druma	dru·ma	Marsch	Geordneter Fußweg eines Aufgebots.
Militär	gana gar	ga·na gar	Befehl	Verbindliche Anweisung im militärischen Dienst.
Militär	serum	se·rum	Waffenstillstand	Vereinbarte Unterbrechung des Kampfes.
Militär	dalun	da·lun	Rückzugsweg	Gesicherter Weg aus einer gefährdeten Stellung.
Militär	karum	ka·rum	Belagerung	Einschließung einer befestigten Stellung.
Militär	durak	du·rak	Sieg	Behauptung des Feldes oder Erreichen des Kriegsziels.
Militär	ragum	ra·gum	Niederlage	Verlust der Stellung oder Scheitern des Aufgebots.
Militär	varan gar	va·ran gar	Waffenbruder oder Waffenschwester	Durch gemeinsamen Dienst verbundener Kämpfer.
Waffen	krena	kre·na	Schwert	Lange Hieb- und Stichklinge.
Waffen	krenin	kre·nin	Messer	Kurze Klinge für Arbeit und Selbstschutz.
Waffen	krenak	kre·nak	Zweihänder	Schwere Klinge für beide Hände.
Waffen	braka	bra·ka	Axt	Werkzeug und Waffe mit querstehender Schneide.
Waffen	brakin	bra·kin	Beil	Kurze, einhändig geführte Axt.
Waffen	brakor	bra·kor	Streitaxt	Für den Kampf ausgewogene Axt.
Waffen	draka	dra·ka	Hammer	Schlagwerkzeug mit schwerem Kopf.
Waffen	drakor	dra·kor	Kriegshammer	Hammer mit verstärkter Schlagfläche und Spitze.
Waffen	teran	te·ran	Speer	Lange Stangenwaffe mit Stoßspitze.
Waffen	terak	te·rak	Lanze	Schwerer Speer der Reiterei.
Waffen	surin	su·rin	Pfeil	Befiedertes Geschoss für den Bogen.
Waffen	sura	su·ra	Bogen	Waffe mit biegsamem Stab und Sehne.
Waffen	surak	su·rak	Armbrust	Bogenwaffe mit Schaft und Spannmechanik.
Waffen	surun	su·run	Köcher	Behälter für Pfeile oder Bolzen.
Waffen	garlen	gar·len	Rüstung	Getragener Schutz des Körpers im Kampf; wörtlich Wehrgewand.
Waffen	gorlen	gor·len	Kettenhemd	Aus Metallringen gefügter Körperschutz.
Waffen	gorad	go·rad	Brustplatte	Starre Metallplatte vor dem Oberkörper.
Waffen	korak	ko·rak	Helm	Fester Schutz für Kopf und Gesicht.
Waffen	dagoskel	da·go·skel	Panzerhandschuh	Gegliederter Schutz der Waffenhand.
Waffen	kuroskel	ku·ro·skel	Lederrüstung	Verstärkter Körperschutz aus Leder.
Waffen	skelin	ske·lin	Buckler	Kleiner, in der Faust geführter Schild.
Waffen	skelak	ske·lak	Setzschild	Großer Schild zum Decken einer Stellung.
Waffen	zirun	zi·run	Kette	Folge ineinanderhängender Metallglieder.
Waffen	krenel	kre·nel	Schneide	Geschärfte Kante einer Klinge.
Waffen	terin	te·rin	Spitze	Verjüngtes Ende einer Stichwaffe.
Orte	kara	ka·ra	Stein	Einzelner Stein oder bearbeitbarer Fels.
Orte	karun	ka·run	Feste	Starke, dauerhaft bemannte Befestigung.
Orte	duna	du·na	Burg	Umwehrter Sitz eines Hauses.
Orte	dunin	du·nin	Wohnturm	Kleiner befestigter Sitz mit Wohnräumen.
Orte	tura	tu·ra	Turm	Hohes, freistehendes oder angebautes Bauwerk.
Orte	turak	tu·rak	Berg	Deutlich aufragende natürliche Höhe.
Orte	tora	to·ra	Grenze	Anerkannte Trennlinie zwischen Herrschaften.
Orte	torun	to·run	Grenztor	Bewachter Durchgang an einer Grenze.
Orte	dorin	do·rin	Zuhause	Vertrauter Ort des eigenen Haushalts.
Orte	dorun	do·run	Dorf	Kleine dauerhafte Siedlung.
Orte	belun	be·lun	Markt	Ort des geregelten Handels.
Orte	belkar	bel·kar	Stadt	Befestigte Marktgemeinde mit eigenem Recht.
Orte	mordun	mor·dun	Rathaus	Haus der öffentlichen Beratung und Verwaltung.
Orte	randun	ran·dun	Ratshalle	Großer Raum für förmliche Beratungen.
Orte	gruna	gru·na	Stollen	Begehbarer Gang unter der Erde.
Orte	grunun	gru·nun	Mine	Anlage zum Abbau von Erz oder Stein.
Orte	falun	fa·lun	Esse	Feuerstelle zum Erhitzen von Metall.
Orte	gorun	go·run	Schmiede	Werkstatt für geschmiedetes Metall.
Orte	korun	ko·run	Kornspeicher	Trockenes Lager für Getreide und Saat.
Orte	borun	bo·run	Schenke	Öffentliches Haus für Bier und einfache Speisen.
Orte	merun	me·run	Herberge	Haus mit Schlafplätzen für Reisende.
Orte	renun	re·nun	Heilhaus	Ort für Pflege und Behandlung.
Orte	rulun	ru·lun	Schreibstube	Raum für Urkunden, Listen und Abschriften.
Orte	dalmar	dal·mar	Brücke	Gebauter Weg über Wasser oder eine Kluft.
Orte	mardun	mar·dun	Hafen	Geschützter Anlegeplatz mit Lager und Verwaltung.
Handwerk	kela	ke·la	Fertigkeit	Durch Übung erlangtes Können.
Handwerk	kelor	ke·lor	Meister	Anerkannter Leiter eines Handwerks.
Handwerk	ar kelor	ar ke·lor	Obermeister	Sprecher mehrerer Meister einer Zunft.
Handwerk	goror	go·ror	Schmied	Formt Metall durch Hitze und Schläge.
Handwerk	karor	ka·ror	Steinmetz	Haut und setzt Werksteine.
Handwerk	grunor	gru·nor	Bergmann	Arbeitet beim Abbau unter Tage.
Handwerk	dolor	do·lor	Zimmermann	Errichtet Bauwerke aus Holz.
Handwerk	lenor	le·nor	Weber	Fertigt Tuch aus gespannten Fäden.
Handwerk	kuror	ku·ror	Gerber	Verarbeitet Häute zu haltbarem Leder.
Handwerk	melor	me·lor	Müller	Mahlt Korn zu Mehl und Schrot.
Handwerk	boror	bo·ror	Brauer	Stellt Bier und verwandte Getränke her.
Handwerk	beror	be·ror	Bäcker	Bereitet Brot und Backwaren.
Handwerk	gora	go·ra	Eisen	Gebräuchliches Schmiedemetall.
Handwerk	gorak	go·rak	Stahl	Gehärtetes oder härtbares Eisen für belastbare Teile.
Handwerk	goreth	go·reth	Erz	Metallhaltiges Gestein vor der Verhüttung.
Handwerk	balin	ba·lin	Kupfer	Weiches rötliches Gebrauchsmetall.
Handwerk	ziran	zi·ran	Silber	Helles Edelmetall für Münzen und Schmuck.
Handwerk	zarak	za·rak	Gold	Gelbes Edelmetall für hohen Wert und Würde.
Handwerk	dola	do·la	Holz	Baustoff aus Stamm und Ästen.
Handwerk	kura	ku·ra	Leder	Gegerbte Haut für Kleidung und Ausrüstung.
Handwerk	lena	le·na	Tuch	Gewebter Stoff.
Handwerk	lenin	le·nin	Faden	Feine gedrehte Faser zum Weben und Nähen.
Handwerk	dragun	dra·gun	Amboss	Schwere Unterlage für Schmiedearbeit.
Handwerk	karel	ka·rel	Meißel	Werkzeug zum gezielten Abtragen von Material.
Handwerk	gorum	go·rum	Werkzeug	Zum Arbeiten gefertigtes Gerät.
Handel	bela	be·la	Geld	Anerkanntes Zahlungsmittel.
Handel	belor	be·lor	Händler	Kauft und verkauft Waren als Beruf.
Handel	belak	be·lak	Preis	Verlangter Gegenwert für eine Ware.
Handel	belum	be·lum	Handelsbund	Gemeinschaft von Händlern mit gemeinsamen Regeln.
Handel	belir	be·lir	Münze	Geprägtes Geldstück.
Handel	belad	be·lad	Lohn	Entgelt für geleistete Arbeit.
Handel	belar	be·lar	Gewinn	Verbleibender Überschuss nach einem Handel.
Handel	merak	me·rak	Ware	Zum Tausch oder Verkauf bestimmtes Gut.
Handel	merin	me·rin	Maß	Anerkannte Einheit zum Abmessen.
Handel	meral	me·ral	Gewicht	Gemessene Schwere einer Ware.
Handel	drena	dre·na	Last	Zu tragende oder zu befördernde Güter.
Handel	drenun	dre·nun	Wagen	Landfahrzeug für Menschen oder Lasten.
Handel	drenor	dre·nor	Fuhrmann	Führt Wagen und Zugtiere.
Handel	dala	da·la	Weg	Begehbare Verbindung zwischen Orten.
Handel	dalak	da·lak	Heerstraße	Breite, unterhaltene Fernverbindung.
Handel	dalin	da·lin	Pfad	Schmaler Weg für einzelne Reisende.
Handel	dalor	da·lor	Wegführer	Kennt und führt durch ein bestimmtes Gebiet.
Handel	maror	ma·ror	Fährmann	Setzt Menschen und Lasten über Wasser.
Handel	marin	ma·rin	Boot	Kleines Wasserfahrzeug.
Handel	marak	ma·rak	Schiff	Großes Wasserfahrzeug für Lasten und Reisen.
Handel	torbel	tor·bel	Zoll	Abgabe beim Überschreiten eines kontrollierten Übergangs.
Handel	var dal	var dal	Geleitbrief	Urkunde über zugesicherten Schutz auf einer Reise.
Handel	gar dal	gar dal	Geleitschutz	Bewaffnete Begleitung für Reisende oder Waren.
Handel	merum	me·rum	Karawane	Gemeinsam reisender Handelszug.
Handel	merad	me·rad	Tausch	Vereinbarter Wechsel von Gütern oder Leistungen.
Versorgung	tala	ta·la	Acker	Bebautes Land für Nahrung und Saat.
Versorgung	talor	ta·lor	Bauer	Bewirtschaftet Land und versorgt Tiere.
Versorgung	kora	ko·ra	Korn	Getreide als Nahrung und Saatgut.
Versorgung	korin	ko·rin	Saat	Zur Aussaat zurückbehaltene Körner.
Versorgung	korad	ko·rad	Ernte	Eingebrachter Feldertrag oder dessen Einbringen.
Versorgung	mela	me·la	Mehl	Fein gemahlenes Korn.
Versorgung	bera	be·ra	Brot	Gebackenes Grundnahrungsmittel.
Versorgung	berin	be·rin	Bissen	Kleine Portion einer Speise.
Versorgung	berun	be·run	Proviant	Für Reise oder Feldzug bereitgestellte Nahrung.
Versorgung	bora	bo·ra	Bier	Gegorenes Getränk aus Korn.
Versorgung	borin	bo·rin	Dünnbier	Leichtes Alltagsbier.
Versorgung	borak	bo·rak	Starkbier	Kräftiges Bier für Fest und Vorrat.
Versorgung	mara	ma·ra	Wasser	Trinkwasser oder Wasser als Stoff.
Versorgung	murna	mur·na	Milch	Frische Nahrung von milchgebenden Herdentieren.
Versorgung	beral	be·ral	Käse	Fest gewordene, haltbare Milch.
Versorgung	gural	gu·ral	Fleisch	Essbares Muskelgewebe von Tieren.
Versorgung	sula	su·la	Salz	Würzstoff und Mittel zum Haltbarmachen.
Versorgung	neral	ne·ral	Honig	Süßer Vorrat aus Bienenstöcken.
Versorgung	korla	kor·la	Rübe	Sättigende Wurzelfrucht.
Versorgung	talin	ta·lin	Garten	Kleines gepflegtes Stück Land für Gemüse und Kräuter.
Versorgung	grena	gre·na	Pferd	Reit- und Zugtier.
Versorgung	drunan	dru·nan	Ochse	Kräftiges Zugtier für Pflug und Wagen.
Versorgung	kural	ku·ral	Schaf	Herdentier für Wolle, Milch und Fleisch.
Versorgung	barla	bar·la	Ziege	Genügsames Herdentier des Berglands.
Versorgung	falber	fal·ber	Eintopf	Im gemeinsamen Kessel gegarte Mahlzeit.
Körper und Familie	narin	na·rin	Kind	Junger Angehöriger einer Familie.
Körper und Familie	narel	na·rel	Mutter	Elternteil und Verwandtschaftsbezeichnung.
Körper und Familie	narok	na·rok	Vater	Elternteil und Verwandtschaftsbezeichnung.
Körper und Familie	narim	na·rim	Geschwister	Bruder oder Schwester ohne Geschlechtsfestlegung.
Körper und Familie	varnar	var·nar	Ehepartner	Durch Ehe verbundene Person.
Körper und Familie	naral	na·ral	Ahne	Verstorbener Vorfahr der Sippe.
Körper und Familie	naril	na·ril	Enkelkind	Kind eines eigenen Kindes.
Körper und Familie	morgin	mor·gin	Mensch oder Person	Einzelnes denkendes Gegenüber, unabhängig vom Volk.
Körper und Familie	daga	da·ga	Hand	Greifendes Glied; Sinnbild tätiger Arbeit.
Körper und Familie	dagin	da·gin	Finger	Einzelnes Glied der Hand.
Körper und Familie	sela	se·la	Auge	Organ des Sehens.
Körper und Familie	ruma	ru·ma	Ohr	Organ des Hörens.
Körper und Familie	gana	ga·na	Stimme	Hörbarer Ausdruck einer Person.
Körper und Familie	ganin	ga·nin	Mund	Ort des Sprechens und Essens.
Körper und Familie	brena	bre·na	Herz	Körperorgan; auch Sitz des Mutes.
Körper und Familie	bruna	bru·na	Blut	Lebenssaft; in Schwüren Zeichen der Verwandtschaft.
Körper und Familie	druna	dru·na	Fuß	Trägt den Körper beim Stehen und Gehen.
Körper und Familie	kurna	kur·na	Haut	Äußere Hülle des lebenden Körpers.
Körper und Familie	gorna	gor·na	Knochen	Fester tragender Teil des Körpers.
Körper und Familie	raga	ra·ga	Wunde	Verletzung des Körpers.
Körper und Familie	rena	re·na	Heilung	Wiederherstellung von Kraft und Gesundheit.
Körper und Familie	renor	re·nor	Heiler	Kundige Person für Wunden und Krankheit.
Körper und Familie	lura	lu·ra	Schmerz	Empfundene körperliche oder seelische Pein.
Körper und Familie	dura	du·ra	Ausdauer	Kraft, unter Belastung weiterzumachen.
Körper und Familie	serin	se·rin	Atem	Einzelner Atemzug; Maß für einen kurzen Augenblick.
Natur und Zeit	fala	fa·la	Feuer	Brennende Flamme und ihre Wärme.
Natur und Zeit	falin	fa·lin	Funke	Kleines glühendes Teilchen.
Natur und Zeit	falak	fa·lak	Brand	Großes, unkontrolliertes Feuer.
Natur und Zeit	marun	ma·run	Fluss	Dauerhaft fließendes Wasser.
Natur und Zeit	maril	ma·ril	Quelle	Ort, an dem Wasser aus dem Boden tritt.
Natur und Zeit	marad	ma·rad	Regen	Wasser, das aus Wolken fällt.
Natur und Zeit	varun	va·run	Wind	Bewegte Luft.
Natur und Zeit	varuk	va·ruk	Sturm	Heftiger, gefährlicher Wind.
Natur und Zeit	karil	ka·ril	Kiesel	Kleiner rundgeschliffener Stein.
Natur und Zeit	tural	tu·ral	Gebirge	Zusammenhängende Gruppe hoher Berge.
Natur und Zeit	dolun	do·lun	Wald	Großer Bestand zusammenwachsender Bäume.
Natur und Zeit	dolin	do·lin	Ast	Seitlicher Wuchs eines Baumes.
Natur und Zeit	sola	so·la	Tag	Helle Zeit zwischen Morgen und Abend.
Natur und Zeit	solin	so·lin	Morgen	Beginn des Tages.
Natur und Zeit	solor	so·lor	Mittag	Mitte des hellen Tages.
Natur und Zeit	solan	so·lan	Abend	Ende des Tages vor der Nacht.
Natur und Zeit	luna	lu·na	Nacht	Dunkle Zeit des Tageslaufs.
Natur und Zeit	lunin	lu·nin	Mond	Helles wanderndes Gestirn der Nacht.
Natur und Zeit	lunir	lu·nir	Stern	Kleiner Lichtpunkt am Nachthimmel.
Natur und Zeit	solum	so·lum	Jahr	Vollständiger Wechsel der Jahreszeiten.
Natur und Zeit	solad	so·lad	Sommer	Warme, helle Jahreszeit.
Natur und Zeit	lunad	lu·nad	Winter	Kalte, dunkle Jahreszeit.
Natur und Zeit	koran	ko·ran	Herbst	Zeit der Ernte und Vorräte.
Natur und Zeit	renal	re·nal	Frühling	Zeit des neuen Wachsens.
Natur und Zeit	seral	se·ral	Stille	Abwesenheit störenden Lärms und Unfriedens.
Handlungen	ganen	ga·nen	sprechen	Auch rufen; im Befehl: Ganen! · Sprich!
Handlungen	beren	be·ren	essen	Nahrung zu sich nehmen.
Handlungen	maren	ma·ren	trinken	Flüssigkeit zu sich nehmen.
Handlungen	lunen	lu·nen	schlafen	Im Schlaf ruhen.
Handlungen	dalen	da·len	gehen	Sich zu Fuß fortbewegen.
Handlungen	kamen	ka·men	kommen	Sich zum Sprecher oder vereinbarten Ort bewegen.
Handlungen	drenen	dre·nen	tragen	Eine Last halten und fortbewegen.
Handlungen	buren	bu·ren	bauen	Ein Bauwerk oder Gerät errichten.
Handlungen	dreken	dre·ken	brechen	Etwas mit Kraft auseinandertrennen.
Handlungen	krenen	kre·nen	schneiden	Mit einer Schneide trennen.
Handlungen	bragen	bra·gen	angreifen	Im Kampf entschlossen vorgehen.
Handlungen	thalen	tha·len	wachen	Auf einen Ort oder eine Person aufpassen.
Handlungen	drumen	dru·men	marschieren	In geordnetem Takt vorangehen.
Handlungen	duren	du·ren	ausharren	Unter Belastung die Stellung halten.
Handlungen	varen	va·ren	schwören	Eine verbindliche persönliche Zusage geben.
Handlungen	delen	de·len	geben	Etwas einem anderen überlassen.
Handlungen	nemen	ne·men	nehmen	Etwas an sich bringen oder empfangen.
Handlungen	selen	se·len	sehen	Mit den Augen wahrnehmen.
Handlungen	rumen	ru·men	hören	Ein Geräusch oder eine Stimme wahrnehmen.
Handlungen	kunen	ku·nen	lernen	Wissen oder Fertigkeiten erwerben.
Handlungen	rulen	ru·len	schreiben	Worte in Zeichen festhalten.
Handlungen	liren	li·ren	singen	Worte oder Laute melodisch führen.
Handlungen	seren	se·ren	ruhen	Arbeit und Anspannung unterbrechen.
Handlungen	velen	ve·len	wollen	Einen eigenen Entschluss oder Wunsch haben.
Handlungen	dagen	da·gen	tun	Eine Handlung ausführen; allgemeines Tätigkeitswort.
Gesellschaft	sera	se·ra	Frieden	Sicheres Zusammenleben ohne bewaffneten Streit.
Gesellschaft	kuna	ku·na	Wissen	Erlernte Kenntnisse und bewahrte Erfahrung.
Gesellschaft	saga	sa·ga	Geschichte	Erzählte Erinnerung an Personen und Ereignisse.
Gesellschaft	lira	li·ra	Lied	Gesungene Folge aus Worten und Melodie.
Gesellschaft	vela	ve·la	Wille	Eigener Wunsch oder gefasster Entschluss.
Handel	dela	de·la	Geschenk	Frei überlassene Gabe ohne Gegenforderung.
Handel	nema	ne·ma	Anteil	Jemandem zustehender Teil eines gemeinsamen Gutes.
Handwerk	bura	bu·ra	Bau	Arbeit am Errichten oder deren unfertiges Ergebnis.
Handwerk	dreka	dre·ka	Bruch	Durch Gewalt oder Belastung entstandene Trennung.
Handel	kama	ka·ma	Ankunft	Erreichen des Zielortes einer Reise.
Recht	varal	va·ral	treu	Hält gegebene Zusagen und bestehende Bindungen.
Militär	garal	ga·ral	wehrhaft	Zur Verteidigung bereit und fähig.
Handlungen	renen	re·nen	heilen	Wunden behandeln oder Gesundheit wiedererlangen.
Handlungen	ragen	ra·gen	verwunden	Einem Körper eine Verletzung zufügen.
Handlungen	sulen	su·len	salzen	Speisen würzen oder für den Vorrat haltbar machen.
Handlungen	ziren	zi·ren	binden	Mit Band, Seil oder gemeinsamem Versprechen verbinden.
Handlungen	grenen	gre·nen	reiten	Sich auf dem Rücken eines Reittiers fortbewegen.
Handlungen	belen	be·len	handeln	Waren und Gegenwerte miteinander aushandeln.
Handlungen	goren	go·ren	schmieden	Erhitztes Metall mit Schlägen formen.
Handlungen	falen	fa·len	brennen	Feuer fangen oder in Flammen stehen.
Handlungen	talen	ta·len	pflügen	Ackerboden für die Saat aufbrechen.
Handlungen	melen	me·len	mahlen	Korn zwischen harten Flächen zerkleinern.
Handlungen	koren	ko·ren	ernten	Reife Feldfrüchte einbringen.
Handlungen	kuren	ku·ren	gerben	Tierhäute zu haltbarem Leder verarbeiten.
Handlungen	lenen	le·nen	weben	Fäden zu einem Gewebe verbinden.
Handlungen	naren	na·ren	umsorgen	Für Nahrung, Schutz und Wohlergehen einer Person sorgen.
Handel	dalad	da·lad	Reise	Weg zu einem entfernten Ort mit bestimmtem Ziel.
Körper und Familie	geral	ge·ral	stark	Besitzt große körperliche Kraft.
Körper und Familie	dural	du·ral	ausdauernd	Hält länger an als die gewöhnliche Kraft erlaubt.
Natur und Zeit	naval	na·val	klein	Von geringer Größe oder geringem Umfang.
Natur und Zeit	aral	ar·al	groß	Von erheblicher Größe oder weitem Umfang.
Feudalstand	vala	va·la	Dienst	Übernommene Aufgabe für Haus, Amt oder Gemeinschaft.
Feudalstand	taldar	tal·dar	Großer Territorialherr	Morgornischer Adel über weite Berglande, Täler, Minengebiete und zahlreiche Hallen; tal + dar.
Feudalstand	kardar	kar·dar	Festungsherr	Regionaler Hochadel über bedeutende Bergfesten, befestigte Städte, Minenkomplexe oder verbundene Hallen; kar + dar.
Feudalstand	dundar	dun·dar	Hallen- und Lokalherr	Lokaler Adel über einzelne Hallen, kleinere Festungen, Bergsiedlungen oder wichtige Anlagen; dun + dar.
Feudalstand	nardar	nar·dar	Sippenherr	Adel einer bedeutenden Sippe; nar + dar. Naror bleibt das allgemeine Wort für ein Sippenoberhaupt.
