Kategorie;Kana'anith;Wortart;Herleitung;Wörtlich;Deutsch
Tempel, Götter und Magie;Ursamor;Substantiv;UR- + SAM + -OR;hoher Träger des Tempelpfeilers;Hohepriester
Tempel, Götter und Magie;Samir;Substantiv;SAM + -IR;Diener des Pfeilers;"Priester; Tempeldiener"
Tempel, Götter und Magie;Basamum;Substantiv;BA- + SAM + -UM;Ort der heiligen Pfeiler;"Tempel; großes Heiligtum"
Tempel, Götter und Magie;Duhetum;Substantiv;DU- + HET + -UM;verborgener ummauerter Ort;"Grabkammer; Gruft"
Tempel, Götter und Magie;Mertav;Substantiv;MER + TAV;Zeichen des reinigenden Wassers;Reinigungsritus
Tempel, Götter und Magie;Hanun;Substantiv;HA- + NUN;sichtbar gemachte Fülle;"Segen; Fruchtbarkeitsgabe"
Tempel, Götter und Magie;Ayenpar;Substantiv;AYEN + PAR;sprechendes Auge;"Orakel; Weissagung"
Tempel, Götter und Magie;Qentav;Substantiv;QEN + TAV;genau gearbeitetes Machtzeichen;"Amulett; magisches Siegel"
Tempel, Götter und Magie;Tartav;Substantiv;TAR + TAV;Markierung des Zyklus;"Ritualkalender; heilige Zeitrechnung"
Tempel, Götter und Magie;Mamerim;Substantiv;MA- + MER + -IM;Gemeinschaft der Reinigung;Priesterschaft eines Wasserkultes
Tempel, Götter und Magie;Dumeran;Substantiv;DU- + MER + -AN;verborgener Lebensstrom;"Jenseitsreise; Weg der Seele"
Tempel, Götter und Magie;Shenut;Substantiv;SHEN + -UT;Eigenschaft des Zahnes;"heilige Durchsetzungskraft; göttliche Macht"
Tempel, Götter und Magie;Tavaya;Substantiv;TAV + -AYA;Linie des heiligen Zeichens;"Kulttradition; geweihte Schule"
Stadt und Architektur;Bet;Substantiv;BET;Haus;"Haus; Wohnraum"
Stadt und Architektur;Mabetim;Substantiv;MA- + BET + -IM;geordnete Häusergemeinschaft;Stadtviertel
Stadt und Architektur;Bahetum;Substantiv;BA- + HET + -UM;ummauerter bewohnter Ort;"Stadt; befestigte Siedlung"
Stadt und Architektur;Dalet;Substantiv;DAL + -ET;kleiner genauer Zugang;"Tür; Torflügel"
Stadt und Architektur;Hebet;Substantiv;HEN + BET;Lichtöffnung des Hauses;"Fenster; Lichtschacht"
Stadt und Architektur;Samet;Substantiv;SAM + -ET;einzelnes Stützstück;"Säule; Pfeiler"
Stadt und Architektur;Samum;Substantiv;SAM + -UM;Ort der Pfeiler;"Säulenhalle; Audienzhalle"
Stadt und Architektur;Merdal;Substantiv;MER + DAL;Tor des Wassers;"Schleuse; Kanaltor"
Stadt und Architektur;Qenbet;Substantiv;QEN + BET;Haus der feinen Arbeit;"Werkstatt; Schreibstube"
Stadt und Architektur;Qenet;Substantiv;QEN + -ET;genaues kleines Bauteil;"Ziegel; geschnittener Baustein"
Stadt und Architektur;Hetan;Substantiv;HET + -AN;Zustand des Umschließens;"Mauerwerk; Befestigung"
Stadt und Architektur;Tardal;Substantiv;TAR + DAL;kreisender Zugang;"Straßenkreuzung; großer Platz"
Stadt und Architektur;Reshbet;Substantiv;RESH + BET;Haus des Herrschers;Palast
Stadt und Architektur;Nabet;Substantiv;NA- + BET;Haus des Wachstums;"Speicherhaus; Kornkammer"
Stadt und Architektur;Dabetum;Substantiv;DA- + BET + -UM;Ort vor dem Eintritt ins Haus;"Vorhof; Vestibül"
Handel und Seefahrt;Magamim;Substantiv;MA- + GAM + -IM;geordnete Reisegemeinschaft;Karawane
Handel und Seefahrt;Gamir;Substantiv;GAM + -IR;beruflicher Reisender;"Karawanenführer; Fernhändler"
Handel und Seefahrt;Gaman;Substantiv;GAM + -AN;andauernde Reise;"Reise; Handelszug"
Handel und Seefahrt;Waran;Substantiv;WAR + -AN;Zustand der Bindung;"Handelspakt; Geschäftsbeziehung"
Handel und Seefahrt;Kafwar;Substantiv;KAF + WAR;gebundener Handschlag;"Tausch; Kaufgeschäft"
Handel und Seefahrt;Kafir;Substantiv;KAF + -IR;beruflicher Empfänger und Geber;"Kaufmann; Händler"
Handel und Seefahrt;Kafet;Substantiv;KAF + -ET;kleines empfangenes Wertstück;"Münze; Handelsgewicht"
Handel und Seefahrt;Tavqen;Substantiv;TAV + QEN;genaues Handelszeichen;"Buchhaltung; Kerbregister"
Handel und Seefahrt;Tavqenir;Substantiv;TAV + QEN + -IR;Beruf des genauen Zeichens;"Schreiber; Buchhalter"
Handel und Seefahrt;Mimerum;Substantiv;MI- + MER + -UM;Ort am Wasser;Hafen
Handel und Seefahrt;Mergam;Substantiv;MER + GAM;Reise über Wasser;"Seefahrt; Überfahrt"
Handel und Seefahrt;Nunir;Substantiv;NUN + -IR;Beruf des Fisches;Fischer
Handel und Seefahrt;Sadnunesh;Substantiv;SAD + NUN + -ESH;Werkzeug zum Fischfang;"Fischernetz; Fanggerät"
Handel und Seefahrt;Betmer;Substantiv;BET + MER;Haus auf dem Wasser;"Schiff; größeres Boot"
Handel und Seefahrt;Betmerim;Substantiv;BET + MER + -IM;Gemeinschaft der Wasserhäuser;Flotte
Land, Wasser und Nahrung;Mer;Substantiv;MER;Wasser;"Wasser; lebensspendende Flüssigkeit"
Land, Wasser und Nahrung;Mimeran;Substantiv;MI- + MER + -AN;fließender Wasserzustand;"Fluss; großer Kanal"
Land, Wasser und Nahrung;Merum;Substantiv;MER + -UM;Ort des Wassers;"Brunnen; Zisterne"
Land, Wasser und Nahrung;Nun;Substantiv;NUN;Fisch und Fülle;"Fisch; essbares Wassertier"
Land, Wasser und Nahrung;Nunim;Substantiv;NUN + -IM;Menge von Fisch und Fülle;"Fischfang; Nahrungsvorrat"
Land, Wasser und Nahrung;Al;Substantiv;AL;starkes Rind;"Rind; Zugochse"
Land, Wasser und Nahrung;Alim;Substantiv;AL + -IM;Gemeinschaft der Rinder;Herde
Land, Wasser und Nahrung;Lamir;Substantiv;LAM + -IR;Beruf des Treibens und Führens;"Hirte; Viehtreiber"
Land, Wasser und Nahrung;Namerum;Substantiv;NA- + MER + -UM;wachsender Ort durch Wasser;"bewässertes Feld; Gartenland"
Land, Wasser und Nahrung;Mertar;Substantiv;MER + TAR;Zyklus des Wassers;"jährliche Flut; Hochwasserzeit"
Land, Wasser und Nahrung;Betnun;Substantiv;BET + NUN;Haus des Fisches;"Fischteich; Fischerei"
Land, Wasser und Nahrung;Shenun;Substantiv;SHEN + NUN;was Zahn und Fülle verbindet;"Speise; Mahlzeit"
Land, Wasser und Nahrung;Shenan;Substantiv;SHEN + -AN;Zustand des Verzehrens;"Hunger; Appetit"
Land, Wasser und Nahrung;Kafmerka;Substantiv;KAF + MER + -KA;Gefäß für gehaltenes Wasser;"Krug; Schale"
Land, Wasser und Nahrung;Gammer;Substantiv;GAM + MER;Wasser der Reisenden;"Oase; Karawanenbrunnen"
Krieg und Handwerk;Zay;Substantiv;ZAY;Waffe und Schneide;"Waffe; Schwert"
Krieg und Handwerk;Zayir;Substantiv;ZAY + -IR;Beruf der Waffe;"Soldat; Krieger"
Krieg und Handwerk;Razayor;Substantiv;RA- + ZAY + -OR;königliches Waffenamt;"Heerführer; General"
Krieg und Handwerk;Hetzay;Substantiv;HET + ZAY;Mauer gegen Waffen;"Schild; große Schutzwand"
Krieg und Handwerk;Mahetim;Substantiv;MA- + HET + -IM;geordnete Gemeinschaft der Mauer;"Garnison; Stadtwache"
Krieg und Handwerk;Zayesh;Substantiv;ZAY + -ESH;greifbares Waffenwerkzeug;"Klinge; Dolch"
Krieg und Handwerk;Qenir;Substantiv;QEN + -IR;Beruf der Genauigkeit;"Feinhandwerker; Juwelier"
Krieg und Handwerk;Yadir;Substantiv;YAD + -IR;Beruf der Hand;"Arbeiter; Bauhandwerker"
Krieg und Handwerk;Kayadan;Substantiv;KA- + YAD + -AN;beherrschte Arbeit der Hand;"Handwerk; Herstellung"
Krieg und Handwerk;Qenesh;Substantiv;QEN + -ESH;Werkzeug der Genauigkeit;"Meißel; Ahle"
Krieg und Handwerk;Waresh;Substantiv;WAR + -ESH;Werkzeug der Befestigung;"Nagel; Haken; Klammer"
Krieg und Handwerk;Kafesh;Substantiv;KAF + -ESH;Werkzeug der Handfläche;"Hammer; Handwerkzeug"
Krieg und Handwerk;Sadzay;Substantiv;SAD + ZAY;fangende Waffe;"Bogen; Jagdwaffe"
Krieg und Handwerk;Zayem;Substantiv;ZAY + -EM;Stoff der Waffe;"Metall; Bronze"
Krieg und Handwerk;Samyad;Substantiv;SAM + YAD;tragende Handarbeit;"Baukunst; Steinsetzen"
Volk, Familie und Alltag;Betaya;Substantiv;BET + -AYA;Linie des Hauses;"Familie; Abstammungslinie"
Volk, Familie und Alltag;Nunu;Substantiv;NUN + -U;einzelner Fortbestand;"Kind; Nachkomme"
Volk, Familie und Alltag;Nunat;Substantiv;NUN + -AT;weiblicher Fortbestand;"Tochter; junge Frau der Linie"
Volk, Familie und Alltag;Alor;Substantiv;AL + -OR;Träger von Kraft und Führung;"Vater; Familienoberhaupt"
Volk, Familie und Alltag;Betat;Substantiv;BET + -AT;Trägerin des Hauses;"Mutter; Hausherrin"
Volk, Familie und Alltag;Warim;Substantiv;WAR + -IM;Gemeinschaft der Gebundenen;"Verwandtschaft; Sippe"
Volk, Familie und Alltag;Paran;Substantiv;PAR + -AN;Zustand des Sprechens;"Rede; Sprache"
Volk, Familie und Alltag;Parir;Substantiv;PAR + -IR;Beruf des Mundes;"Erzähler; Sänger; öffentlicher Sprecher"
Volk, Familie und Alltag;Hayen;Substantiv;HA- + AYEN;erhelltes Auge;"Wissen; Verständnis"
Volk, Familie und Alltag;Shenesh;Substantiv;SHEN + -ESH;greifbare Nahrung für den Zahn;"Brot; feste Speise"
