Geschlecht;Name;Erststamm;Zweitstamm;Erstbedeutung;Zweitbedeutung
männlich;Tarisam;Tari;sam;Zyklus und Schicksal;Pfeiler und Beständigkeit
männlich;Taribar;Tari;bar;Zyklus und Schicksal;Haus und Familie
männlich;Tarizan;Tari;zan;Zyklus und Schicksal;Schutz und Schwert
männlich;Tarimer;Tari;mer;Zyklus und Schicksal;Wasser und Leben
männlich;Yadisam;Yadi;sam;Hand und Tat;Pfeiler und Beständigkeit
männlich;Yadibar;Yadi;bar;Hand und Tat;Haus und Familie
männlich;Yadizan;Yadi;zan;Hand und Tat;Schutz und Schwert
männlich;Yadimer;Yadi;mer;Hand und Tat;Wasser und Leben
männlich;Yaditav;Yadi;tav;Hand und Tat;Zeichen und Eid
männlich;Kafubar;Kafu;bar;Gabe und Handwerk;Haus und Familie
männlich;Kafuzan;Kafu;zan;Gabe und Handwerk;Schutz und Schwert
männlich;Kafumer;Kafu;mer;Gabe und Handwerk;Wasser und Leben
männlich;Kafutav;Kafu;tav;Gabe und Handwerk;Zeichen und Eid
männlich;Kafudar;Kafu;dar;Gabe und Handwerk;Tor und Gelegenheit
männlich;Lamuzan;Lamu;zan;Führung und Lehre;Schutz und Schwert
männlich;Lamumer;Lamu;mer;Führung und Lehre;Wasser und Leben
männlich;Lamutav;Lamu;tav;Führung und Lehre;Zeichen und Eid
männlich;Lamudar;Lamu;dar;Führung und Lehre;Tor und Gelegenheit
männlich;Lamulam;Lamu;lam;Führung und Lehre;Führung und Lehre
männlich;Merumer;Meru;mer;Wasser und Leben;Wasser und Leben
männlich;Merutav;Meru;tav;Wasser und Leben;Zeichen und Eid
männlich;Merudar;Meru;dar;Wasser und Leben;Tor und Gelegenheit
männlich;Merulam;Meru;lam;Wasser und Leben;Führung und Lehre
männlich;Meruresh;Meru;resh;Wasser und Leben;Herrschaft und Rang
männlich;Nunitav;Nuni;tav;Fülle und Fortbestand;Zeichen und Eid
männlich;Nunidar;Nuni;dar;Fülle und Fortbestand;Tor und Gelegenheit
männlich;Nunilam;Nuni;lam;Fülle und Fortbestand;Führung und Lehre
männlich;Nuniresh;Nuni;resh;Fülle und Fortbestand;Herrschaft und Rang
männlich;Nunigam;Nuni;gam;Fülle und Fortbestand;Reise und Ausdauer
männlich;Samudar;Samu;dar;Pfeiler und Ordnung;Tor und Gelegenheit
männlich;Samulam;Samu;lam;Pfeiler und Ordnung;Führung und Lehre
männlich;Samuresh;Samu;resh;Pfeiler und Ordnung;Herrschaft und Rang
männlich;Samugam;Samu;gam;Pfeiler und Ordnung;Reise und Ausdauer
männlich;Samuyad;Samu;yad;Pfeiler und Ordnung;Tat und Hand
männlich;Aynulam;Aynu;lam;Auge und Wissen;Führung und Lehre
männlich;Aynuresh;Aynu;resh;Auge und Wissen;Herrschaft und Rang
männlich;Aynugam;Aynu;gam;Auge und Wissen;Reise und Ausdauer
männlich;Aynuyad;Aynu;yad;Auge und Wissen;Tat und Hand
männlich;Aynusam;Aynu;sam;Auge und Wissen;Pfeiler und Beständigkeit
männlich;Paruresh;Paru;resh;Mund und Verkündung;Herrschaft und Rang
männlich;Parugam;Paru;gam;Mund und Verkündung;Reise und Ausdauer
männlich;Paruyad;Paru;yad;Mund und Verkündung;Tat und Hand
männlich;Parusam;Paru;sam;Mund und Verkündung;Pfeiler und Beständigkeit
männlich;Parubar;Paru;bar;Mund und Verkündung;Haus und Familie
männlich;Sadugam;Sadu;gam;Fang und Auswahl;Reise und Ausdauer
männlich;Saduyad;Sadu;yad;Fang und Auswahl;Tat und Hand
männlich;Sadusam;Sadu;sam;Fang und Auswahl;Pfeiler und Beständigkeit
männlich;Sadubar;Sadu;bar;Fang und Auswahl;Haus und Familie
männlich;Saduzan;Sadu;zan;Fang und Auswahl;Schutz und Schwert
männlich;Qenuyad;Qenu;yad;Maß und Genauigkeit;Tat und Hand
männlich;Qenusam;Qenu;sam;Maß und Genauigkeit;Pfeiler und Beständigkeit
männlich;Qenubar;Qenu;bar;Maß und Genauigkeit;Haus und Familie
männlich;Qenuzan;Qenu;zan;Maß und Genauigkeit;Schutz und Schwert
männlich;Qenumer;Qenu;mer;Maß und Genauigkeit;Wasser und Leben
männlich;Reshusam;Reshu;sam;Kopf und Herrschaft;Pfeiler und Beständigkeit
männlich;Reshubar;Reshu;bar;Kopf und Herrschaft;Haus und Familie
männlich;Reshuzan;Reshu;zan;Kopf und Herrschaft;Schutz und Schwert
männlich;Reshumer;Reshu;mer;Kopf und Herrschaft;Wasser und Leben
männlich;Reshutav;Reshu;tav;Kopf und Herrschaft;Zeichen und Eid
weiblich;Arugama;Aru;gama;Kraft und Führung;Reise und Ausdauer
weiblich;Aruresha;Aru;resha;Kraft und Führung;Herrschaft und Rang
weiblich;Arulama;Aru;lama;Kraft und Führung;Führung und Lehre
weiblich;Arudara;Aru;dara;Kraft und Führung;Tor und Gelegenheit
weiblich;Arutava;Aru;tava;Kraft und Führung;Zeichen und Eid
weiblich;Betiyada;Beti;yada;Haus und Schutz;Tat und Hand
weiblich;Betigama;Beti;gama;Haus und Schutz;Reise und Ausdauer
weiblich;Betiresha;Beti;resha;Haus und Schutz;Herrschaft und Rang
weiblich;Betilama;Beti;lama;Haus und Schutz;Führung und Lehre
weiblich;Betidara;Beti;dara;Haus und Schutz;Tor und Gelegenheit
weiblich;Gamusama;Gamu;sama;Reise und Ausdauer;Pfeiler und Beständigkeit
weiblich;Gamuyada;Gamu;yada;Reise und Ausdauer;Tat und Hand
weiblich;Gamugama;Gamu;gama;Reise und Ausdauer;Reise und Ausdauer
weiblich;Gamuresha;Gamu;resha;Reise und Ausdauer;Herrschaft und Rang
weiblich;Gamulama;Gamu;lama;Reise und Ausdauer;Führung und Lehre
weiblich;Dalubara;Dalu;bara;Tor und Neubeginn;Haus und Familie
weiblich;Dalusama;Dalu;sama;Tor und Neubeginn;Pfeiler und Beständigkeit
weiblich;Daluyada;Dalu;yada;Tor und Neubeginn;Tat und Hand
weiblich;Dalugama;Dalu;gama;Tor und Neubeginn;Reise und Ausdauer
weiblich;Daluresha;Dalu;resha;Tor und Neubeginn;Herrschaft und Rang
weiblich;Henuzana;Henu;zana;Licht und Offenbarung;Schutz und Schwert
weiblich;Henubara;Henu;bara;Licht und Offenbarung;Haus und Familie
weiblich;Henusama;Henu;sama;Licht und Offenbarung;Pfeiler und Beständigkeit
weiblich;Henuyada;Henu;yada;Licht und Offenbarung;Tat und Hand
weiblich;Henugama;Henu;gama;Licht und Offenbarung;Reise und Ausdauer
weiblich;Warumera;Waru;mera;Bindung und Treue;Wasser und Leben
weiblich;Waruzana;Waru;zana;Bindung und Treue;Schutz und Schwert
weiblich;Warubara;Waru;bara;Bindung und Treue;Haus und Familie
weiblich;Warusama;Waru;sama;Bindung und Treue;Pfeiler und Beständigkeit
weiblich;Waruyada;Waru;yada;Bindung und Treue;Tat und Hand
weiblich;Zayitava;Zayi;tava;Schwert und Entschlossenheit;Zeichen und Eid
weiblich;Zayimera;Zayi;mera;Schwert und Entschlossenheit;Wasser und Leben
weiblich;Zayizana;Zayi;zana;Schwert und Entschlossenheit;Schutz und Schwert
weiblich;Zayibara;Zayi;bara;Schwert und Entschlossenheit;Haus und Familie
weiblich;Zayisama;Zayi;sama;Schwert und Entschlossenheit;Pfeiler und Beständigkeit
weiblich;Hetudara;Hetu;dara;Mauer und Bewahrung;Tor und Gelegenheit
weiblich;Hetutava;Hetu;tava;Mauer und Bewahrung;Zeichen und Eid
weiblich;Hetumera;Hetu;mera;Mauer und Bewahrung;Wasser und Leben
weiblich;Hetuzana;Hetu;zana;Mauer und Bewahrung;Schutz und Schwert
weiblich;Hetubara;Hetu;bara;Mauer und Bewahrung;Haus und Familie
weiblich;Tarilama;Tari;lama;Zyklus und Schicksal;Führung und Lehre
weiblich;Taridara;Tari;dara;Zyklus und Schicksal;Tor und Gelegenheit
weiblich;Taritava;Tari;tava;Zyklus und Schicksal;Zeichen und Eid
weiblich;Tarimera;Tari;mera;Zyklus und Schicksal;Wasser und Leben
weiblich;Tarizana;Tari;zana;Zyklus und Schicksal;Schutz und Schwert
weiblich;Yadiresha;Yadi;resha;Hand und Tat;Herrschaft und Rang
weiblich;Yadilama;Yadi;lama;Hand und Tat;Führung und Lehre
weiblich;Yadidara;Yadi;dara;Hand und Tat;Tor und Gelegenheit
weiblich;Yaditava;Yadi;tava;Hand und Tat;Zeichen und Eid
weiblich;Yadimera;Yadi;mera;Hand und Tat;Wasser und Leben
weiblich;Kafugama;Kafu;gama;Gabe und Handwerk;Reise und Ausdauer
weiblich;Kafuresha;Kafu;resha;Gabe und Handwerk;Herrschaft und Rang
weiblich;Kafulama;Kafu;lama;Gabe und Handwerk;Führung und Lehre
weiblich;Kafudara;Kafu;dara;Gabe und Handwerk;Tor und Gelegenheit
weiblich;Kafutava;Kafu;tava;Gabe und Handwerk;Zeichen und Eid
weiblich;Lamuyada;Lamu;yada;Führung und Lehre;Tat und Hand
weiblich;Lamugama;Lamu;gama;Führung und Lehre;Reise und Ausdauer
weiblich;Lamuresha;Lamu;resha;Führung und Lehre;Herrschaft und Rang
weiblich;Lamulama;Lamu;lama;Führung und Lehre;Führung und Lehre
weiblich;Lamudara;Lamu;dara;Führung und Lehre;Tor und Gelegenheit
weiblich;Merusama;Meru;sama;Wasser und Leben;Pfeiler und Beständigkeit
weiblich;Meruyada;Meru;yada;Wasser und Leben;Tat und Hand
weiblich;Merugama;Meru;gama;Wasser und Leben;Reise und Ausdauer
weiblich;Meruresha;Meru;resha;Wasser und Leben;Herrschaft und Rang
weiblich;Merulama;Meru;lama;Wasser und Leben;Führung und Lehre
weiblich;Nunibara;Nuni;bara;Fülle und Fortbestand;Haus und Familie
weiblich;Nunisama;Nuni;sama;Fülle und Fortbestand;Pfeiler und Beständigkeit
weiblich;Nuniyada;Nuni;yada;Fülle und Fortbestand;Tat und Hand
weiblich;Nunigama;Nuni;gama;Fülle und Fortbestand;Reise und Ausdauer
weiblich;Nuniresha;Nuni;resha;Fülle und Fortbestand;Herrschaft und Rang
weiblich;Samuzana;Samu;zana;Pfeiler und Ordnung;Schutz und Schwert
weiblich;Samubara;Samu;bara;Pfeiler und Ordnung;Haus und Familie
weiblich;Samusama;Samu;sama;Pfeiler und Ordnung;Pfeiler und Beständigkeit
weiblich;Samuyada;Samu;yada;Pfeiler und Ordnung;Tat und Hand
weiblich;Samugama;Samu;gama;Pfeiler und Ordnung;Reise und Ausdauer
weiblich;Aynumera;Aynu;mera;Auge und Wissen;Wasser und Leben
weiblich;Aynuzana;Aynu;zana;Auge und Wissen;Schutz und Schwert
weiblich;Aynubara;Aynu;bara;Auge und Wissen;Haus und Familie
weiblich;Aynusama;Aynu;sama;Auge und Wissen;Pfeiler und Beständigkeit
weiblich;Aynuyada;Aynu;yada;Auge und Wissen;Tat und Hand
weiblich;Parutava;Paru;tava;Mund und Verkündung;Zeichen und Eid
weiblich;Parumera;Paru;mera;Mund und Verkündung;Wasser und Leben
weiblich;Paruzana;Paru;zana;Mund und Verkündung;Schutz und Schwert
weiblich;Parubara;Paru;bara;Mund und Verkündung;Haus und Familie
weiblich;Parusama;Paru;sama;Mund und Verkündung;Pfeiler und Beständigkeit
weiblich;Sadudara;Sadu;dara;Fang und Auswahl;Tor und Gelegenheit
weiblich;Sadutava;Sadu;tava;Fang und Auswahl;Zeichen und Eid
weiblich;Sadumera;Sadu;mera;Fang und Auswahl;Wasser und Leben
weiblich;Saduzana;Sadu;zana;Fang und Auswahl;Schutz und Schwert
weiblich;Sadubara;Sadu;bara;Fang und Auswahl;Haus und Familie
weiblich;Qenulama;Qenu;lama;Maß und Genauigkeit;Führung und Lehre
weiblich;Qenudara;Qenu;dara;Maß und Genauigkeit;Tor und Gelegenheit
weiblich;Qenutava;Qenu;tava;Maß und Genauigkeit;Zeichen und Eid
weiblich;Qenumera;Qenu;mera;Maß und Genauigkeit;Wasser und Leben
weiblich;Qenuzana;Qenu;zana;Maß und Genauigkeit;Schutz und Schwert
weiblich;Reshuresha;Reshu;resha;Kopf und Herrschaft;Herrschaft und Rang
weiblich;Reshulama;Reshu;lama;Kopf und Herrschaft;Führung und Lehre
weiblich;Reshudara;Reshu;dara;Kopf und Herrschaft;Tor und Gelegenheit
weiblich;Reshutava;Reshu;tava;Kopf und Herrschaft;Zeichen und Eid
weiblich;Reshumera;Reshu;mera;Kopf und Herrschaft;Wasser und Leben
